City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vestmanna,FO,62.1564,-7.1664,40.12,87,85,10.36,overcast clouds
80,Kavaratti,IN,10.5669,72.642,84.06,73,100,0.94,overcast clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,76.95,58,0,14.0,clear sky
82,Aklavik,CA,68.2191,-135.0107,30.2,59,20,3.44,few clouds
83,Kodiak,US,57.79,-152.4072,42.28,80,32,5.75,scattered clouds
84,Castro,BR,-24.7911,-50.0119,75.96,57,1,1.86,clear sky
85,Cidreira,BR,-30.1811,-50.2056,70.59,73,4,17.54,clear sky
86,Komsomolskiy,UZ,40.4272,71.7189,61.52,63,23,13.8,few clouds
87,Qaanaaq,GL,77.484,-69.3632,7.41,73,90,6.22,overcast clouds
88,Saskylakh,RU,71.9167,114.0833,-7.94,100,85,2.46,overcast clouds
89,Tiksi,RU,71.6872,128.8694,-6.09,100,100,1.59,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,75.49,78,75,16.11,broken clouds
91,Saint George,US,37.1041,-113.5841,68.63,18,0,4.61,clear sky
92,Haverfordwest,GB,51.8017,-4.9691,58.24,60,70,3.0,broken clouds
93,Airai,TL,-8.9266,125.4092,57.88,66,56,1.83,broken clouds
94,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,3.44,broken clouds
95,Ulladulla,AU,-35.35,150.4667,61.7,81,96,4.61,overcast clouds
96,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,17,13.44,few clouds
97,Butaritari,KI,3.0707,172.7902,80.31,78,100,13.58,light rain
98,Pamekasan,ID,-7.1568,113.4746,78.96,85,11,3.33,few clouds
99,Krutinka,RU,56.0055,71.5113,36.1,55,61,8.23,broken clouds
100,Carbonia,IT,39.1672,8.5222,61.45,91,0,5.44,clear sky
101,Torbay,CA,47.6666,-52.7314,38.35,97,100,13.8,light rain
102,Zhezkazgan,KZ,47.8043,67.7144,46.92,72,100,14.25,overcast clouds
103,Lompoc,US,34.6391,-120.4579,84.69,59,0,7.0,clear sky
104,Karratha,AU,-20.7377,116.8463,78.26,54,5,6.85,light rain
105,Cap Malheureux,MU,-19.9842,57.6142,73.47,79,100,8.01,light rain
106,Clyde River,CA,70.4692,-68.5914,7.03,78,100,5.75,light snow
107,Kota Bahru,MY,6.1333,102.2386,80.55,88,20,2.3,few clouds
108,Lehola,EE,59.2925,24.3279,44.49,72,100,18.41,overcast clouds
109,Quang Ngai,VN,15.1167,108.8,76.15,94,18,5.86,few clouds
110,Edd,ER,13.9297,41.6925,90.54,51,86,19.82,overcast clouds
111,Barra Dos Coqueiros,BR,-10.9089,-37.0386,84.22,70,20,10.36,few clouds
112,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,4.61,light rain
113,Hermanus,ZA,-34.4187,19.2345,50.81,79,67,5.61,light rain
114,Nanortalik,GL,60.1432,-45.2371,38.1,88,95,1.01,overcast clouds
115,Guerrero Negro,MX,27.9769,-114.0611,75.34,37,0,10.2,clear sky
116,Puerto Gaitan,CO,4.3133,-72.0816,88.61,57,100,10.11,overcast clouds
117,San Andres,CO,12.5847,-81.7006,80.62,78,75,12.66,broken clouds
118,Paracuru,BR,-3.41,-39.0306,83.1,77,88,5.88,overcast clouds
119,Jalu,LY,29.0331,21.5482,82.33,14,100,8.12,overcast clouds
120,Ossora,RU,59.2353,163.0719,29.17,97,100,18.3,snow
121,Tangwani,PK,28.2787,68.9972,91.47,10,84,3.69,broken clouds
122,Ust-Maya,RU,60.4167,134.5333,15.98,96,59,0.34,broken clouds
123,New Norfolk,AU,-42.7826,147.0587,53.92,87,58,0.69,broken clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,79,0,3.44,clear sky
125,Mochudi,BW,-24.4167,26.15,70.84,54,82,1.03,broken clouds
126,Badarganj,BD,25.674,89.0549,78.76,73,16,5.95,few clouds
127,Madang,PG,-5.2246,145.7966,74.98,90,100,3.98,overcast clouds
128,San Cristobal,VE,7.7669,-72.225,69.98,57,67,4.76,broken clouds
129,Ilulissat,GL,69.2167,-51.1,29.21,91,100,5.73,overcast clouds
130,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,75,16.11,light rain
131,Gorontalo,ID,0.5412,123.0595,75.27,95,67,3.33,broken clouds
132,Dali,CN,25.7,100.1833,56.14,75,1,5.59,clear sky
133,Liverpool,GB,53.4106,-2.9779,57.78,59,20,14.97,few clouds
134,North Bend,US,43.4065,-124.2243,60.24,87,40,4.61,scattered clouds
135,Atbasar,KZ,51.8,68.3333,39.74,44,90,11.25,overcast clouds
136,Tamandare,BR,-8.7597,-35.1047,82.2,69,100,8.5,overcast clouds
137,Severo-Kurilsk,RU,50.6789,156.125,31.42,84,85,11.3,overcast clouds
138,Oksfjord,NO,70.2396,22.3479,37.99,93,100,3.89,overcast clouds
139,Kryvyy Rih,UA,47.9167,33.35,53.8,70,7,5.5,clear sky
140,Haines Junction,CA,60.7522,-137.5108,37.78,84,100,1.34,overcast clouds
141,Svetlogorsk,BY,52.6333,29.7333,46.92,81,56,6.89,broken clouds
142,Port Elizabeth,ZA,-33.918,25.5701,59.31,81,0,16.11,clear sky
143,La Asuncion,VE,11.0333,-63.8628,81.28,71,100,17.05,overcast clouds
144,Aswan,EG,24.0934,32.907,90.7,7,0,5.75,clear sky
145,Tetiyiv,UA,49.3767,29.6647,51.93,63,27,7.74,scattered clouds
146,Coquimbo,CL,-29.9533,-71.3436,62.13,78,49,5.77,scattered clouds
147,Bar Harbor,US,44.3876,-68.2039,59.34,31,1,13.0,clear sky
148,Narsaq,GL,60.9167,-46.05,50.22,79,100,3.29,overcast clouds
149,Longyearbyen,SJ,78.2186,15.6401,10.24,56,20,9.22,few clouds
150,Murgab,TM,37.4966,61.9714,75.24,40,0,4.76,clear sky
151,Kaitangata,NZ,-46.2817,169.8464,53.82,82,88,12.82,overcast clouds
152,Ndioum,SN,16.5129,-14.6471,97.47,14,0,12.57,clear sky
153,Benghazi,LY,32.1167,20.0667,64.27,70,100,16.28,overcast clouds
154,Nakusp,CA,50.2499,-117.8023,59.47,49,13,2.64,few clouds
155,Thinadhoo,MV,0.5333,72.9333,84.9,70,80,8.61,broken clouds
156,Boa Vista,BR,2.8197,-60.6733,93.4,43,67,6.42,broken clouds
157,Mandalgovi,MN,45.7625,106.2708,55.09,39,100,25.9,overcast clouds
158,Buin,CL,-33.7333,-70.75,72.05,45,100,7.31,overcast clouds
159,Bethel,US,41.3712,-73.414,66.02,43,88,5.01,overcast clouds
160,Cardonal,MX,20.6,-99.1333,81.52,27,0,5.99,clear sky
161,San Policarpo,PH,12.1791,125.5072,80.44,85,100,7.87,light rain
162,Victoria,HK,22.2855,114.1577,81.32,88,7,4.0,clear sky
163,Timoteo,BR,-19.5825,-42.6444,88.63,43,43,4.65,scattered clouds
164,Arman,RU,59.7,150.1667,20.01,79,13,9.35,few clouds
165,Sivaki,RU,52.6333,126.75,28.24,51,10,5.06,clear sky
166,Belyy Yar,RU,53.6039,91.3903,26.85,81,99,0.0,overcast clouds
167,Yairipok,IN,24.6667,94.0667,66.09,81,54,1.34,broken clouds
168,Tecoanapa,MX,16.5167,-98.75,87.01,55,0,11.72,clear sky
169,Olavarria,AR,-36.8927,-60.3225,73.02,51,72,18.99,broken clouds
170,Bluff,NZ,-46.6,168.3333,53.8,84,98,20.04,overcast clouds
171,Guaruja,BR,-23.9931,-46.2564,78.84,73,75,9.22,broken clouds
172,Pulandian,CN,39.3953,121.9669,52.7,94,100,11.97,overcast clouds
173,Bonaventure,CA,48.0457,-65.4926,48.78,40,95,10.36,overcast clouds
174,Mamu Kanjan,PK,30.8333,72.8,87.24,15,100,3.0,overcast clouds
175,Chokurdakh,RU,70.6333,147.9167,-13.67,100,95,3.71,overcast clouds
176,Morant Bay,JM,17.8815,-76.4093,78.42,73,100,11.21,overcast clouds
177,Tilichiki,RU,60.4667,166.1,24.08,83,100,11.48,overcast clouds
178,Nabire,ID,-3.3667,135.4833,75.0,92,96,3.15,overcast clouds
179,Waingapu,ID,-9.6567,120.2641,76.3,79,53,7.02,broken clouds
180,Wanaka,NZ,-44.7,169.15,45.43,82,37,3.4,scattered clouds
181,Bonavista,CA,48.6499,-53.1147,35.37,96,100,26.22,light rain
182,Farafangana,MG,-22.8167,47.8333,73.36,86,100,7.99,light rain
183,Kruisfontein,ZA,-34.0033,24.7314,56.88,72,98,7.54,overcast clouds
184,Catamarca,AR,-28.4696,-65.7852,87.58,44,0,6.69,clear sky
185,Khatanga,RU,71.9667,102.5,-14.69,100,100,4.79,overcast clouds
186,Jamestown,US,42.097,-79.2353,80.19,10,71,11.79,broken clouds
187,Adwa,ET,14.1646,38.8955,71.6,42,100,3.71,light rain
188,Lapy,PL,52.9911,22.8842,44.26,91,33,6.69,scattered clouds
189,Sovetskaya Gavan,RU,48.9723,140.2878,33.22,68,6,11.97,clear sky
190,Banda Aceh,ID,5.5577,95.3222,80.53,80,98,4.68,overcast clouds
191,Bedford,GB,52.1346,-0.4663,52.95,69,7,12.19,clear sky
192,Kuvshinovo,RU,57.0295,34.1725,44.76,98,100,5.14,overcast clouds
193,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,78,23,21.81,few clouds
194,Avarua,CK,-21.2078,-159.775,80.65,78,90,3.44,overcast clouds
195,Amalapuram,IN,16.5833,82.0167,82.98,77,76,3.24,broken clouds
196,Longhua,CN,23.6137,114.1919,73.56,97,27,1.81,scattered clouds
197,Bengkulu,ID,-3.8004,102.2655,77.13,90,100,5.19,overcast clouds
198,Vardo,NO,70.3705,31.1107,35.58,93,75,10.36,broken clouds
199,Guaratuba,BR,-25.8828,-48.5747,79.05,71,0,8.75,clear sky
200,Broken Hill,AU,-31.95,141.4333,62.56,59,95,8.52,overcast clouds
201,Teknaf,BD,20.8624,92.3058,79.11,89,9,2.44,clear sky
202,Mana,GF,5.6592,-53.7767,81.23,85,100,9.35,light rain
203,Iacu,BR,-12.7672,-40.2117,88.29,45,3,10.89,clear sky
204,Evensk,RU,61.95,159.2333,25.03,90,100,24.61,light snow
205,Yulara,AU,-25.2406,130.9889,57.65,91,3,9.51,clear sky
206,Rodrigues Alves,BR,-7.738,-72.6509,83.93,79,100,1.19,light rain
207,Codrington,AU,-38.2667,141.9667,47.68,92,99,6.67,overcast clouds
208,Voi,KE,-3.3945,38.563,73.87,87,100,5.91,light rain
209,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.16,75,92,17.58,overcast clouds
210,Carnarvon,AU,-24.8667,113.6333,73.13,62,3,3.94,clear sky
211,Motygino,RU,58.1831,94.7592,27.68,95,99,6.6,overcast clouds
212,Andenes,NO,69.3143,16.1194,40.98,81,100,9.22,overcast clouds
213,Iqaluit,CA,63.7506,-68.5145,22.69,79,100,15.01,overcast clouds
214,Conde,BR,-7.2597,-34.9075,80.56,75,95,13.82,overcast clouds
215,Asbury Park,US,40.2204,-74.0121,60.26,70,0,14.97,clear sky
216,Kurchum,KZ,48.5722,83.6542,35.92,55,100,6.08,overcast clouds
217,Charlestown,AU,-32.95,151.6667,59.68,93,95,1.99,overcast clouds
218,Dicabisagan,PH,17.0818,122.4157,77.95,90,6,2.39,clear sky
219,Constitucion,CL,-35.3333,-72.4167,57.09,95,100,18.61,moderate rain
220,Beyneu,KZ,45.3167,55.2,59.31,49,9,13.65,clear sky
