City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Nabire,ID,75.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
179,Waingapu,ID,76.3,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
182,Farafangana,MG,73.36,light rain,-22.8167,47.8333,Miarina
184,Catamarca,AR,87.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
186,Jamestown,US,80.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
187,Adwa,ET,71.6,light rain,14.1646,38.8955,Maay Assa Hotel
190,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
194,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
195,Amalapuram,IN,82.98,broken clouds,16.5833,82.0167,swayamprabha service apartments
196,Longhua,CN,73.56,scattered clouds,23.6137,114.1919,Huadu Hotel
197,Bengkulu,ID,77.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Guaratuba,BR,79.05,clear sky,-25.8828,-48.5747,Hotel Santa Paula
201,Teknaf,BD,79.11,clear sky,20.8624,92.3058,Forestry Guesthouse
202,Mana,GF,81.23,light rain,5.6592,-53.7767,LE SAMANA
203,Iacu,BR,88.29,clear sky,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
206,Rodrigues Alves,BR,83.93,light rain,-7.738,-72.6509,Pousada Aconchego
208,Voi,KE,73.87,light rain,-3.3945,38.563,Voi Wildlife Lodge
209,Sao Joao Da Barra,BR,79.16,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
210,Carnarvon,AU,73.13,clear sky,-24.8667,113.6333,Hospitality Carnarvon
214,Conde,BR,80.56,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
218,Dicabisagan,PH,77.95,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
223,Sorong,ID,80.33,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
226,Harper,LR,82.36,overcast clouds,4.375,-7.7169,Screensaver
227,Nanakuli,US,78.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
228,Namatanai,PG,78.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
229,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
231,Formosa,AR,87.69,scattered clouds,-26.1775,-58.1781,Asterión Hotel
233,Meulaboh,ID,78.49,broken clouds,4.1363,96.1285,Kost Pria
234,Roma,US,77.83,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
237,Padang,ID,78.26,moderate rain,-0.9492,100.3543,Mercure Padang
238,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
240,Aloleng,PH,81.99,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
242,Miri,MY,78.35,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
243,Bilgi,IN,89.46,clear sky,16.35,75.6167,Kenada Lodge
248,Nishihara,JP,75.25,scattered clouds,26.1842,127.7558,Minshuku Agaihama
249,Ejido,VE,73.65,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
250,Isangel,VU,76.21,overcast clouds,-19.55,169.2667,Tanna Lodge
251,Quatre Cocos,MU,73.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
255,Belmonte,BR,82.69,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
259,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
261,Nokha,IN,84.31,clear sky,27.6,73.4167,Gurukarpa Hotel
264,Buchanan,LR,81.54,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
268,Basoko,CD,73.22,overcast clouds,1.2391,23.616,Jackyna Hotel
270,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
272,Bubaque,GW,77.7,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
